,CI_NAME,EQUIPTYPE
996,SSBA01,BTS
997,SSBR01,BTS
998,SSBS01,BTS
999,SSCB01,BTS
1000,SSCI01,BTS
1001,SSCT01,BTS
1002,SSCT02,BTS
1003,SSFS01,BTS
1004,SSJQ01,BTS
1005,SSMC01,BTS
1006,SSMG01,BTS
1007,SSMG02,BTS
1008,SSMS01,BTS
1009,SSPB01,BTS
1010,SSPC01,BTS
1011,SSPG01,BTS
1012,SSPU01,BTS
1013,SSRS01,BTS
1014,SSSA01,BTS
1015,MFLO01,BTS
1016,MAGE03,BTS
1017,MAGE04,BTS
1018,MAGE05,BTS
1019,MAGE06,BTS
1020,MAGE07,BTS
1021,MAGE08,BTS
1022,MAGE09,BTS
1023,MAGE10,BTS
1024,MAGE11,BTS
1025,MAGE13,BTS
1026,MAGE14,BTS
1027,MAGE15,BTS
1028,MAGE23,BTS
1029,MAMO01,BTS
1030,MANT01,BTS
1031,MAPB01,BTS
1032,MAPG01,BTS
1033,MAQN01,BTS
1034,MAQN02,BTS
1035,MAQN03,BTS
1036,MARI01,BTS
1037,MASE01,BTS
1038,MASU01,BTS
1039,MBCE01,BTS
1040,MCAE01,BTS
1041,MCAE02,BTS
1042,MCAE04,BTS
1043,MCAE05,BTS
1044,MCAE06,BTS
1045,MCAE07,BTS
1046,MCAE08,BTS
1047,MCAE09,BTS
1048,MCAE10,BTS
1054,MCAE11,BTS
1055,MCAE12,BTS
1056,MCAE13,BTS
1057,KPLR01,BTS
1058,RJCE18,BTS
1059,MCAE14,BTS
1060,MCAE15,BTS
1061,MCAE16,BTS
1062,MCAE17,BTS
1063,MCAE18,BTS
1064,MCAE19,BTS
1065,MCAE22,BTS
1066,MCAE27,BTS
1067,MCBN01,BTS
1068,MCMC01,BTS
1069,MDCE01,BTS
1070,MDGB01,BTS
1071,MDGC01,BTS
1072,MDGO01,BTS
1073,MDOB01,BTS
1074,MDTA01,BTS
1075,MECE51,BTS
1076,MEMO01,BTS
1077,MEND01,BTS
1078,GUPI03,BTS
1079,GPMO01,BTS
1080,GPRC01,BTS
1081,GRMO01,BTS
1082,GRRI01,BTS
1083,GRSU01,BTS
1084,RJCE19,BTS
1085,RJCE20,BTS
1086,RJCE21,BTS
1087,RJCE23,BTS
1088,RJCE24,BTS
1089,RJCE25,BTS
1090,RJCE26,BTS
1091,RJCE27,BTS
1092,RJCE28,BTS
1093,RJCE31,BTS
1094,RJCE32,BTS
1095,RJCE35,BTS
1096,RJCE37,BTS
1097,RJCG01,BTS
1098,RJCG02,BTS
1099,RJCG05,BTS
1100,RJCG06,BTS
1101,RJCG08,BTS
1102,RJCG09,BTS
1103,RJCG11,BTS
1104,RJCG12,BTS
1105,RJCG13,BTS
1106,RJCG14,BTS
1107,RJCG15,BTS
1108,RJCG16,BTS
1109,RJCG17,BTS
1110,RJCG18,BTS
1111,RJCG19,BTS
1112,RJCG20,BTS
1113,RJCG21,BTS
1114,RJCG22,BTS
1115,RJCG23,BTS
1116,RJCG24,BTS
1156,RJCG26,BTS
1157,RJCG27,BTS
1158,RJCG28,BTS
1159,RJCG29,BTS
1160,RJCG30,BTS
1161,RJCG31,BTS
1162,RJCG33,BTS
1163,RJCG34,BTS
1164,RJCG36,BTS
1165,CJDV23,BTS
1166,CJFS01,BTS
1167,CJLG01,BTS
1168,CJMC01,BTS
1169,CJMC16,BTS
1170,CJPN01,BTS
1171,CJSC01,BTS
1172,CJSR01,BTS
1173,CJTT01,BTS
1174,CJVI01,BTS
1175,CJVL01,BTS
1176,CJVM01,BTS
1177,CKFS01,BTS
1178,CLBH09,BTS
1179,CLBH10,BTS
1180,SBMO01,BTS
1181,SBMP01,BTS
1182,SBOX01,BTS
1183,SBPS01,BTS
1184,SBRV01,BTS
1185,SBSA01,BTS
1186,GTAS01,BTS
