CI_NAME,EQUIPTYPE
CCHU01,BTS
CCMB01,BTS
CCMD01,BTS
CCMG01,BTS
CCMO01,BTS
CCPL01,BTS
CCPS01,BTS
CCRR01,BTS
EBT-FUADFELCA_1,PDH
EBT-FUNDMUDES_1,PDH
EBT-GERMANALA_1,PDH
EBT-GRACABAND_1,PDH
EBT-HBARBEACH_1,PDH
EBT-HOSPMADA_1,PDH
EBT-IDEAL_1,PDH
EBT-IGI434_1,PDH
EBT-IRON_1,PDH
EBT-LASADIC1_1,PDH
EBT-LASAGEU_1,PDH
EBT-LINXTVID_1,PDH
EBT-MOTOCARCM_1,PDH
EBT-NIU327_1,PDH
EBT-NIU355_1,PDH
EBT-NLP460_1,PDH
EBT-PSOCNPECA_1,PDH
EBT-QUE480_1,PDH
EBT-QUE483_1,PDH
EBT-REUMABFG_1,PDH
EBT-RJO145_1,PDH
EBT-RJO149JAV660_1,PDH
EBT-RJO369PIAI3950_1,PDH
EBT-RTMAP204_1,PDH
EBT-SADA,PDH
EBT-SAFRACEN_1,PDH
EBT-SANTACRUZ,SDH
EBT-SENDAPRD2_1,PDH
EBT-SESC,SDH
EBT-SIEMLUCO_1,PDH
EBT-SPOMPEU1ME02,SWITCH
EBT-SRPCGOIAN_1,PDH
EBT-TELEDSEA,PDH
EBT-TJRJNIP_1,PDH
EBT-TRTLAVR,SDH
EBT-UNIBCONB_1,PDH
INTG-NEUTRMSVICENT99MD01,SWITCH
INTG-NEUTRONARJ48MD01,SWITCH
INTG-NEWCHIFONEV700ME01,SWITCH
INTG-NEXAMERICAS4666_1,PDH
NEXT-STACRUZ_1,SDH
NEXT-VISCASSECA143_1,SDH
NIG02,SDH
NIG03,SDH
NIG04,SDH
NIG05,PDH
NIG06,PDH
NIG07,PDH
NIG08,PDH
NIG10,PDH
NIG11,PDH
NIG13,SDH
NIG15,PDH
NIG16,PDH
NIG17,PDH
NIG19,PDH
NIG20,PDH
OPTG01,SDH
OTEL-ATENTO_2,PDH
PAE-ADI01-ZTS01,SDH
PAE-ADI01-ZTS02,SDH
PAE-ADI01-ZTS03,SDH
PAE-CEN01-ZTS01,SDH
CAS-BN021-HWP01,PTN
CAS-MCO01-HWS01,SDH
CAS-MCO01-HWS01 (DESATIVADO),SDH
CAS-SI9157-THWP01,PTN
CAS-SI9174-HWP01,PTN
CAS-SI9185-THWP01,PTN
CBA-BN003-HWP01,PTN
CBA-BN008-HWP01,PTN
CBA-BN013-HWP01,PTN
CBA-BN014-HWP01,PTN
CBA-CBMT15-HWP01,PTN
CBA-MT0021-HWP01,PTN
CBA-SJO01-HWP01,PTN
CCO-BN001-HWP01,PTN
CGE-BN001-HWP01,PTN
CGE-BN002-HWP01,PTN
CGE-BN004-HWP01,PTN
CCRR02,BTS
RJRJO_MSAN0234,MSAN
RJRJO_MSAN0235,MSAN
RJRJO_MSAN0237,MSAN
RJRJO_MSAN0238,MSAN
RJRJO_MSAN0239,MSAN
RJRJO_MSAN0240,MSAN
RJRJO_MSAN0241,MSAN
RJRJO_MSAN0242,MSAN
RJRJO_MSAN0243,MSAN
RJRJO_MSAN0244,MSAN
RJRJO_MSAN0245,MSAN
RJRJO_MSAN0246,MSAN
RJRJO_MSAN0247,MSAN
RJRJO_MSAN0248,MSAN
SPSPO_MSAN1707,MSAN
SPSPO_MSAN0281,MSAN
SPSPO_MSAN0282,MSAN
SPSPO_MSAN0283,MSAN
SPSPO_MSAN0284,MSAN
SPSPO_MSAN0285,MSAN
SPSPO_MSAN0286,MSAN
SPSPO_MSAN0287,MSAN
SPSPO_MSAN0288,MSAN
SPSPO_MSAN0290,MSAN
SPSPO_MSAN0291,MSAN
SPSPO_MSAN0293,MSAN
SPSPO_MSAN0294,MSAN
SPSPO_MSAN0295,MSAN
SPSPO_MSAN0296,MSAN
SPSPO_MSAN0297,MSAN
SPSPO_MSAN0298,MSAN
SPSPO_MSAN0299,MSAN
SPSPO_MSAN0302,MSAN
SPSPO_MSAN0303,MSAN
SPSPO_MSAN0306,MSAN
SPSPO_MSAN0307,MSAN
SPSPO_MSAN0310,MSAN
SPSPO_MSAN0311,MSAN
SPSPO_MSAN0313,MSAN
SPSPO_MSAN0314,MSAN
SPSPO_MSAN0315,MSAN
SPSPO_MSAN0316,MSAN
SPSPO_MSAN0317,MSAN
SPSPO_MSAN0318,MSAN
RMAGSPO-SPO03-01,ROTEADOR
CCRR03,BTS
CCRR04,BTS
CCSA01,BTS
CCUV01,BTS
CCXE01,BTS
CDAI01,BTS
CDMO01,BTS
CDMO02,BTS
CDOE01,BTS
CDTA01,BTS
CDTA02,BTS
CEAR51,BTS
CECE01,BTS
CFDR01,BTS
CFDR02,BTS
CFLL02,BTS
CFLL51,BTS
CFOB01,BTS
CGAC01,BTS
CGAC02,BTS
CGCE01,BTS
CGCG01,BTS
CGCP01,BTS
CGFZ01,BTS
CGGR01,BTS
CGPG01,BTS
CGPO01,BTS
CGTE01,BTS
CGUR01,BTS
CGUR02,BTS
SPCUR042_CABINET,GABINETE
SPCUR043_CABINET,GABINETE
SPCUR044_CABINET,GABINETE
SPCUR047_CABINET,GABINETE
SPCUR048_CABINET,GABINETE
SPCUR049_CABINET,GABINETE
SPCUR050_CABINET,GABINETE
CHAQ01,BTS
CHAQ03,BTS
CHCE01,BTS
CHMO01,BTS
RMAGSPO-SCA01-02,ROTEADOR
RMAGSPO-SPLJ05-01,ROTEADOR
INTG-NEXTAGGIL1200ME01,SWITCH
INTG-NEXTAJ284ME01,SWITCH
INTG-NEXTAS2200MD01,SWITCH
INTG-NEXTBVA56MD01(BP),SWITCH
INTG-NEXTCB871_1,PDH
INTG-NEXTDHC5474ME01,SWITCH
INTG-NEXTDHCAMRA7287ME01,SWITCH
INTG-NEXTELACRME01,SWITCH
INTG-NEXTELAM987ME01,SWITCH
INTG-NEXTELBAB694_1,PDH
INTG-NEXTELBF28_1,PDH
INTG-NEXTELDIAS658ME01,SWITCH
INTG-NEXTELEM185_1,PDH
INTG-NEXTELMA987_1,PDH
INTG-NEXTELPACO23ME01,SWITCH
INTG-NEXTELPB400_1,PDH
INTG-NEXTESTGAV899MD01,SWITCH
INTG-NEXTGV1340_1,PDH
INTG-NEXTLTRCD219_1 - BP EM-4146,PDH
SPCRE048_CABINET,GABINETE
EBT-01RJO368_1,PDH
EBT-01SMI299_2,PDH
EBT04,SDH
EBT05,SDH
EBT08_SUB01,SDH
EBT09_SUB01,SDH
EBT13_SUB01,SDH
EBT-ABNAMER3_1,PDH
EBT-ABNNSCOP2_1,PDH
EBT-ABNPOTYM_1,PDH
EBT-ABNVPATR_1,PDH
EBT-ACBURLAMA_1,PDH
EBT-AGABRA_1,PDH
EBT-AMERICANASM290_1,PDH
EBT-ARBIRIO_1,PDH
EBT-CARDIOLAB_1,PDH
EBT-CARMAXINT_1,PDH
EBT-CCACELLES_1,PDH
EBT-CIC,PDH
EBT-DFARMACEUTICA_1,PDH
NEXT-RJO491_1,PDH
MWE-MG-MG1171-N1,MWE
MWE-MG-MG1180-N1,MWE
MWE-MG-MG1189-N15,MWE
MWE-MG-MG1189-N4,MWE
MWE-MG-MG1198-N1,MWE
MWE-MG-MG1508-N3,MWE
MWE-RN-YOYO00-N1,MWE
MWE-RN-YOYO00-T1,MWE
MWE-RN-ZUZU00-N1,MWE
MWE-RN-ZUZU00-T1,MWE
MWE-RN-ZUZU01-T1,MWE
MWE-RS-APLT01-Y1528-EXP E1,MWE
MWE-RS-BIDR01-Y2339-EXP,MWE
MWE-RS-BIDR01-Y2340-EXP,MWE
MWE-RS-BIDR01-Y2341-EXP,MWE
MWE-SC-ABNU01-Y2314-EXPANSION,MWE
